URL imagem,Jogador,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
https://i.ibb.co/9gqWbQh/Fred.jpg,Fred,0.0,0.0,14.0,24.0,24.0,24.0,24.0,36.0,41.0,63.0,83.0,86.0,104.0,113.0,127.0,139.0,142.0,147.0,152.0
https://i.ibb.co/LxVtX3g/Diego-Souza.jpg,Diego Souza,0.0,0.0,3.0,8.0,8.0,16.0,22.0,31.0,36.0,47.0,50.0,51.0,55.0,65.0,79.0,90.0,102.0,109.0,122.0
https://i.ibb.co/Lxv2BNM/Paulo-Baier.jpg,Paulo Baier,0.0,9.0,24.0,32.0,42.0,55.0,69.0,77.0,87.0,92.0,92.0,102.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
https://i.ibb.co/7KGSRnm/Welligton-Paulista.jpg,Wellington Paulista,0.0,0.0,0.0,0.0,9.0,9.0,16.0,30.0,37.0,39.0,49.0,60.0,63.0,65.0,67.0,76.0,81.0,94.0,103.0
https://i.ibb.co/kHwLwkp/Alecsandro.jpg,Alecsandro,0.0,9.0,14.0,25.0,30.0,40.0,40.0,56.0,66.0,69.0,79.0,87.0,94.0,96.0,99.0,100.0,100.0,102.0,102.0
https://i.ibb.co/KmV6391/Borges.jpg,Borges,0.0,0.0,0.0,19.0,19.0,26.0,42.0,48.0,51.0,74.0,81.0,91.0,93.0,98.0,99.0,99.0,99.0,99.0,99.0
https://i.ibb.co/CPk9yTr/Rafael-Moura.jpg,Rafael Moura,0.0,0.0,1.0,8.0,15.0,15.0,22.0,24.0,33.0,44.0,46.0,49.0,57.0,58.0,66.0,70.0,77.0,86.0,95.0
https://i.ibb.co/JpQfkBs/Luis-Fabiano.jpg,Luís Fabiano,0.0,29.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,40.0,57.0,63.0,72.0,80.0,80.0,85.0,85.0,85.0,85.0
https://i.ibb.co/9wkGsJ4/Roger.jpg,Roger,0.0,1.0,3.0,11.0,13.0,13.0,25.0,40.0,46.0,49.0,57.0,60.0,60.0,61.0,69.0,79.0,83.0,83.0,83.0
https://i.ibb.co/Z213vbL/Washigton.jpg,Washington,0.0,0.0,34.0,34.0,34.0,34.0,55.0,72.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
,Gabriel Barbosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,19.0,24.0,24.0,42.0,67.0,81.0
https://i.ibb.co/fSkCj9r/Souza.jpg,Souza,0.0,3.0,3.0,21.0,38.0,44.0,47.0,51.0,53.0,64.0,72.0,72.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
,André Lima,0.0,0.0,1.0,1.0,1.0,13.0,16.0,25.0,36.0,45.0,53.0,53.0,53.0,63.0,68.0,73.0,75.0,75.0,75.0
https://i.ibb.co/6XrJW9c/Obina.png,Obina,0.0,0.0,17.0,23.0,34.0,38.0,45.0,57.0,69.0,69.0,71.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
https://i.ibb.co/y8ByBYV/Deivid.jpg,Deivid,0.0,15.0,36.0,41.0,41.0,41.0,41.0,41.0,45.0,60.0,68.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0
,Rafael Sóbis,0.0,0.0,6.0,25.0,28.0,28.0,28.0,28.0,32.0,42.0,45.0,55.0,58.0,58.0,62.0,66.0,69.0,71.0,71.0
,Ricardo Oliveira,0.0,4.0,4.0,4.0,9.0,9.0,9.0,9.0,16.0,16.0,16.0,16.0,16.0,36.0,47.0,55.0,68.0,70.0,72.0
,André,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,14.0,21.0,33.0,36.0,49.0,50.0,66.0,70.0,71.0,71.0
https://i.ibb.co/M6dKyFW/Dagoberto.jpg,Dagoberto,0.0,8.0,21.0,22.0,23.0,30.0,36.0,43.0,50.0,58.0,64.0,68.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
,Cícero,0.0,1.0,1.0,1.0,14.0,20.0,20.0,20.0,20.0,26.0,29.0,44.0,52.0,55.0,64.0,64.0,66.0,69.0,69.0
