Player,1969-1970,1970-1971,1971-1972,1972-1973,1973-1974,1974-1975,1975-1976,1976-1977,1977-1978,1978-1979,1979-1980,1980-1981,1981-1982,1982-1983,1983-1984,1984-1985,1985-1986,1986-1987,1987-1988,1988-1989,1989-1990,1990-1991,1991-1992,1992-1993,1993-1994,1994-1995,1995-1996,1996-1997,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
DeMar DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.0,2072.0,3126.0,4611.0,6402.0,7606.0,9436.0,11456.0,13296.0,14931.0,16435.0,17751.0,19869.0,20791.0
Bob Lanier,,1281.0,3337.0,5264.0,7086.0,8909.0,10275.0,11891.0,13433.0,14686.0,15896.0,16857.0,17853.0,18270.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0,19248.0
Bob Cousy,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960,16960
Jason Terry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.0,2276.0,3780.0,5175.0,6534.0,7527.0,8898.0,10248.0,11517.0,12964.0,14244.0,15537.0,16487.0,17286.0,17445.0,17986.0,18408.0,18715.0,18881.0,18881.0,18881.0,18881.0,18881.0,18881.0
Jo Jo,729,2330,4155,5767,7255,8757,10309,11918,12599,13546,14316,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399,14399
Paul Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.0,2218.0,4289.0,6433.0,8481.0,10317.0,12086.0,14202.0,15375.0,16945.0,18603.0,19899.0,21410.0,22591.0,24021.0,25031.0,25899.0,26316.0,26397.0,26397.0,26397.0,26397.0,26397.0,26397.0,26397.0
John Havlicek,12608,14946,17198,19100,20816,22389,23678,25073,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395,26395
Antawn Jamison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.0,1290.0,3334.0,4953.0,6775.0,7987.0,9321.0,11005.0,12393.0,14082.0,15883.0,17118.0,18128.0,19246.0,19958.0,20042.0,20042.0,20042.0,20042.0,20042.0,20042.0,20042.0,20042.0,20042.0,20042.0
Rolando Blackman,,,,,,,,,,,,,1091.0,2417.0,4232.0,5830.0,7592.0,9268.0,10593.0,12127.0,13679.0,15269.0,16643.0,17223.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0,17623.0
Dwight Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.0,2273.0,3716.0,5411.0,7035.0,8538.0,10322.0,11435.0,12731.0,14028.0,14674.0,15650.0,16652.0,17999.0,18114.0,18631.0,19113.0,19485.0,19485.0
Chris Mullin,,,,,,,,,,,,,,,,,768.0,2010.0,3223.0,5399.0,7355.0,9462.0,11536.0,12727.0,13767.0,14243.0,14977.0,16120.0,17047.0,17554.0,17796.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0,17911.0
