Flags,Name,Age 17,Age 18,Age 19,Age 20,Age 21,Age 22,Age 23,Age 24,Age 25,Age 26,Age 27,Age 28,Age 29,Age 30,Age 31,Age 32,Age 33,Age 34,Age 35,Age 36,Age 37
https://hotemoji.com/images/dl/l/flag-maldives-emoji-by-twitter.png,ASHFAQ,4.0,6.0,9.0,10.0,13.0,16.0,19.0,23.0,35.0,42.0,42.0,49.0,51.0,51.0,51.0,51.0,53.0,53.0,53.0,57.0,57.0
https://images.emojiterra.com/twitter/v13.0/512px/1f1f5-1f1f1.png,LUBANSKI,3.0,8.0,9.0,12.0,18.0,28.0,30.0,34.0,37.0,44.0,44.0,46.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
https://cdn-0.emojis.wiki/emoji-pics/facebook/belgium-facebook.png,LUKAKU,2.0,3.0,3.0,5.0,11.0,11.0,22.0,31.0,45.0,52.0,59.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
https://images.emojiterra.com/mozilla/512px/1f1fa-1f1f8.png,PULISIC,2.0,7.0,9.0,13.0,14.0,16.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
https://www.emoji.co.uk/files/apple-emojis/flags-ios/1234-flag-of-the-united-arab-emirates.png,A. TALYANI,2.0,4.0,15.0,21.0,27.0,27.0,31.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
http://cdn.countryflags.com/thumbs/brazil/flag-waving-250.png,PELÉ,2.0,11.0,22.0,26.0,26.0,34.0,41.0,43.0,52.0,57.0,57.0,61.0,68.0,76.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
https://hotemoji.com/images/dl/1/flag-of-spain-emoji-by-google.png,FATI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
https://cdn-0.emojis.wiki/emoji-pics/facebook/hungary-facebook.png,SCHLOSSER,1.0,1.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
https://hotemoji.com/images/dl/p/flag-of-romania-emoji-by-twitter.png,KOVACS,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
https://hotemoji.com/images/dl/w/flag-of-australia-emoji-by-google.png,CUMMINGS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
