Origin,IMAGE,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,https://www.worldometers.info/img/flags/us-flag.gif,USA average,69.7,,,,,,,,,,70.8,,,,,,,,,,73.7,,,,,,,,,,75.4,,,,,,,,,,76.8,,,,,,,,,,78.7,,,,,,,,,78.8,,,78.24
,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Alabama.svg/1280px-Flag_of_Alabama.svg.png,Alabama,67.9,,,,,,,,,,69.2,,,,,,,,,,72.3,,,,,,,,,,73.7,,,,,,,,,,74.4,,,,,,,,,,75.4,,,,,,,,,75.5,,,74.9
,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Alaska.svg/1280px-Flag_of_Alaska.svg.png,Alaska,67.2,,,,,,,,,,69.2,,,,,,,,,,72.4,,,,,,,,,,75.0,,,,,,,,,,76.2,,,,,,,,,,78.0,,,,,,,,,79.0,,,77.9
,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Arizona.svg/1280px-Flag_of_Arizona.svg.png,Arizona,69.3,,,,,,,,,,70.9,,,,,,,,,,74.2,,,,,,,,,,76.2,,,,,,,,,,77.1,,,,,,,,,,79.3,,,,,,,,,80.0,,,79.2
,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Arkansas.svg/1280px-Flag_of_Arkansas.svg.png,Arkansas,69.9,,,,,,,,,,70.8,,,,,,,,,,73.3,,,,,,,,,,74.4,,,,,,,,,,74.8,,,,,,,,,,76.0,,,,,,,,,76.0,,,75.4
,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_California.svg/1280px-Flag_of_California.svg.png,California,70.8,,,,,,,,,,71.8,,,,,,,,,,74.3,,,,,,,,,,75.8,,,,,,,,,,78.1,,,,,,,,,,80.6,,,,,,,,,81.7,,,81.0
,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Flag_of_Colorado.svg/1280px-Flag_of_Colorado.svg.png,Colorado,70.9,,,,,,,,,,72.1,,,,,,,,,,75.4,,,,,,,,,,77.2,,,,,,,,,,78.4,,,,,,,,,,80.1,,,,,,,,,80.6,,,80.0
,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Flag_of_Connecticut.svg/1280px-Flag_of_Connecticut.svg.png,Connecticut,71.1,,,,,,,,,,72.6,,,,,,,,,,74.9,,,,,,,,,,77.1,,,,,,,,,,78.3,,,,,,,,,,80.7,,,,,,,,,80.9,,,80.6
,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Flag_of_Delaware.svg/1280px-Flag_of_Delaware.svg.png,Delaware,69.1,,,,,,,,,,69.9,,,,,,,,,,73.2,,,,,,,,,,75.0,,,,,,,,,,76.4,,,,,,,,,,78.3,,,,,,,,,78.5,,,78.2
,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_the_District_of_Columbia.svg/1920px-Flag_of_the_District_of_Columbia.svg.png,District of Columbia,66.3,,,,,,,,,,65.2,,,,,,,,,,68.9,,,,,,,,,,67.4,,,,,,,,,,72.1,,,,,,,,,,76.9,,,,,,,,,79.0,,,79.1
,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Flag_of_Florida_%281900%E2%80%931985%29.svg/1280px-Flag_of_Florida_%281900%E2%80%931985%29.svg.png,Florida,69.9,,,,,,,,,,70.8,,,,,,,,,,73.8,,,,,,,,,,75.7,,,,,,,,,,77.0,,,,,,,,,,79.0,,,,,,,,,80.2,,,79.2
,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Flag_of_Georgia_%28U.S._state%29.svg/1920px-Flag_of_Georgia_%28U.S._state%29.svg.png,Georgia,67.5,,,,,,,,,,68.4,,,,,,,,,,72.1,,,,,,,,,,73.8,,,,,,,,,,75.1,,,,,,,,,,77.3,,,,,,,,,77.9,,,77.1
,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Hawaii.svg/1920px-Flag_of_Hawaii.svg.png,Hawaii,71.3,,,,,,,,,,74.0,,,,,,,,,,77.1,,,,,,,,,,78.2,,,,,,,,,,79.5,,,,,,,,,,81.4,,,,,,,,,82.3,,,81.5
,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_Idaho.svg/1280px-Flag_of_Idaho.svg.png,Idaho,71.4,,,,,,,,,,72.0,,,,,,,,,,75.2,,,,,,,,,,77.2,,,,,,,,,,78.1,,,,,,,,,,79.4,,,,,,,,,79.4,,,79.1
,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Illinois.svg/1920px-Flag_of_Illinois.svg.png,Illinois,69.6,,,,,,,,,,70.1,,,,,,,,,,73.3,,,,,,,,,,74.9,,,,,,,,,,76.6,,,,,,,,,,79.0,,,,,,,,,79.4,,,79.0
