Mar 16-22,Mar 23-29,Area name,Aug 16-22,Aug 23-29,Aug 30-Sep 5,Sep 6-12,Sep 13-19,Sep 20-26,Sep 27-Oct 3,Oct 4-10,Oct 11-17,Oct 18-24,Oct 25-31,Nov 1-7,Nov 8-14,Nov 15-21,Nov 22-28,Nov 29-Dec 5,Dec 6-12,Dec 13-19,Dec 20-26,Dec 27-Jan 2,Jan 3-9,Jan 10-16,Jan 17-23,Jan 24-30,Jan 31-Feb 6,Feb 7-13,Feb 14-20,Feb 21-27,Feb 28-Mar 6,Mar 7-13,Mar 14-20,Mar 21-27,Mar 28-Apr 3
0-2,0-2,Chatteris,16.0,20.0,46.0,44.0,55.0,68.0,86.0,73.0,53.0,48.0,37.0,26.0,23.0,18.0,37.0,30.0,33.0,74.0,97.0,145.0,125.0,122.0,239.0,167.0,155.0,101.0,60.0,45.0,54.0,116.0,123.0,94.0,74.0
0-2,0-2,"Coates, Benwick & Pondersbridge",29.0,26.0,34.0,22.0,23.0,25.0,52.0,30.0,29.0,47.0,26.0,18.0,17.0,15.0,21.0,21.0,27.0,47.0,52.0,101.0,88.0,40.0,74.0,85.0,55.0,52.0,37.0,21.0,19.0,52.0,44.0,64.0,40.0
0-2,0-2,"Doddington, Wimblington & Manea",14.0,24.0,26.0,41.0,70.0,65.0,55.0,46.0,54.0,55.0,29.0,11.0,11.0,27.0,22.0,27.0,30.0,42.0,73.0,108.0,117.0,76.0,106.0,95.0,96.0,55.0,44.0,30.0,37.0,60.0,90.0,86.0,54.0
0-2,0-2,"Leverington, Gorefield & Tydd St Giles",8.0,34.0,19.0,16.0,22.0,23.0,19.0,38.0,32.0,30.0,19.0,20.0,30.0,39.0,36.0,33.0,27.0,24.0,51.0,74.0,66.0,66.0,64.0,80.0,59.0,49.0,32.0,19.0,22.0,50.0,84.0,53.0,46.0
0-2,0-2,March East,28.0,24.0,31.0,25.0,20.0,29.0,18.0,28.0,58.0,58.0,32.0,12.0,17.0,18.0,27.0,22.0,24.0,27.0,38.0,111.0,95.0,84.0,68.0,139.0,120.0,71.0,81.0,39.0,38.0,57.0,64.0,65.0,43.0
0-2,4,March North,25.0,51.0,30.0,25.0,31.0,25.0,34.0,35.0,49.0,57.0,39.0,36.0,18.0,17.0,13.0,23.0,46.0,23.0,50.0,124.0,122.0,84.0,112.0,121.0,87.0,58.0,53.0,41.0,31.0,51.0,71.0,85.0,69.0
0-2,0-2,March West,18.0,24.0,20.0,11.0,34.0,32.0,47.0,44.0,61.0,51.0,34.0,10.0,17.0,19.0,22.0,22.0,23.0,43.0,73.0,92.0,119.0,93.0,108.0,112.0,97.0,51.0,39.0,37.0,40.0,74.0,73.0,89.0,56.0
0-2,3,Whittlesey,71.0,89.0,94.0,89.0,62.0,80.0,78.0,77.0,66.0,55.0,54.0,40.0,58.0,56.0,31.0,61.0,45.0,93.0,212.0,230.0,138.0,136.0,184.0,152.0,115.0,63.0,51.0,52.0,62.0,76.0,97.0,145.0,120.0
0-2,0-2,Wisbech North,28.0,39.0,37.0,31.0,22.0,25.0,36.0,72.0,74.0,77.0,41.0,48.0,36.0,50.0,52.0,43.0,51.0,53.0,81.0,135.0,138.0,141.0,185.0,186.0,147.0,108.0,68.0,52.0,30.0,66.0,86.0,97.0,73.0
0-2,0-2,Wisbech South & Peckover,58.0,43.0,37.0,26.0,22.0,49.0,52.0,94.0,72.0,69.0,38.0,32.0,37.0,40.0,46.0,59.0,40.0,48.0,96.0,142.0,158.0,157.0,197.0,221.0,165.0,91.0,69.0,50.0,61.0,70.0,103.0,114.0,94.0
0-2,0-2,"Wisbech St Mary, Waldersea & Christchurch",21.0,37.0,31.0,26.0,34.0,61.0,43.0,63.0,51.0,63.0,37.0,35.0,29.0,35.0,40.0,42.0,38.0,51.0,96.0,138.0,117.0,83.0,132.0,148.0,112.0,72.0,55.0,29.0,35.0,79.0,96.0,106.0,69.0
