"title_abb","title","id","color","image","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01","2023-01-01","2023-02-01"
"CS","Counter-Strike","10","1D2C68","https://plotset.com/assets/images/steam-icons/Counter-Strike.jpg","53967","53685","55321","56053","56957","61189","65188","60134","49412","43856","36913","35960","34412","34230","36983","36655","39826","40743","44491","41945","39230","35774","33755","31392","30469","29564","30379","31690","33495","36393","37018","34453","33107","30333","26466","24177","23624","22650","23130","24278","26133","27926","29670","29617","28136","24994","22998","22585","21136","21491","21984","23413","24792","26909","29300","28071","26577","22842","21838","20229","20303","18292","18685","20764","24734","25689","27589","26135","25812","22637","18895","18604","18703","17093","17531","18183","20591","21858","22902","21432","19302","17373","16503","14925","15309","14902","14661","14937","15994","18196","19141","17705","30500","31782","29589","21446","18159","16485","16041","17908","20908","22645","23762","21626","22140","21562","18089","16391","14972","14064","14559","15631","16321","16534","18392","18714","16745","16636","14189","13707","14019","13191","13455","13709","15888","14425","14728","14019"
"Dota Underlords","Dota Underlords","1046930","1A2217","https://plotset.com/assets/images/steam-icons/Dota%20Underlords.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","202254","111805","74189","44760","43557","32872","20177","14783","30553","29166","23007","11521","9553","9055","12211","10487","8084","7005","8344","6337","6114","6340","6316","5438","4996","4537","4475","4194","3848","3654","3384","3571","3397","3536","3693","3444","3396","3322","3211","3103","3363","2853","2480","2492","2191"
"Terraria","Terraria","105600","52831F","https://plotset.com/assets/images/steam-icons/Terraria.jpg","16097","8399","8503","6664","10799","9119","13303","8502","14259","11856","14305","11339","18750","8392","12057","97392","40370","27274","22962","17002","14336","11069","26328","32249","28048","14455","20721","16597","22395","27255","26016","16831","15502","14185","15021","158947","149316","54486","33538","28621","28867","37821","39425","26573","25409","25034","30112","30486","33051","22057","24473","23776","36926","32543","34214","27644","26626","31152","29192","30594","31959","28218","27568","29120","29128","33063","34396","29858","29904","31058","30276","30003","31403","25523","25303","26054","28050","31424","39437","34169","28659","35231","34594","35123","35010","27917","26791","25955","53380","57927","49672","42862","48542","72280","486918","157919","62269","40187","33696","48712","45815","43285","47087","55078","45035","44708","55027","49750","42378","42367","45520","63430","84258","73393","59635","57046","44948","44767","45021","45395","50902","41392","71258","115029","70589","47442","55374","33461"
"New World","New World","1063730","A3A4A6","https://plotset.com/assets/images/steam-icons/New%20World.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","757990","913027","357188","145038","117042","67943","34098","37734","28373","22565","26604","25505","45745","69605","137755","64440","48399","28595"
"Arma 3","Arma 3","107410","1A2217","https://plotset.com/assets/images/steam-icons/Arma%203.jpg","0","0","0","0","0","0","0","0","13225","4536","3496","12108","7311","6657","16612","8435","9270","9373","14464","22331","24278","26302","46089","27777","26977","25334","24971","48521","34213","36250","44621","37577","44092","44017","47553","31440","29783","33455","33954","35323","34353","38659","43922","48734","45506","41127","56185","46030","46635","41000","40858","41168","43745","47649","53102","45279","46509","49352","42285","46003","43759","32339","36019","32097","36994","38629","37049","33206","33378","44337","34393","31609","31989","27029","29690","26432","26667","26948","29454","32582","28270","27708","28985","26030","27462","25846","24676","23954","22119","22863","31684","26403","36117","40307","34175","25514","23272","22575","26059","27524","27725","26626","29006","31637","30058","27972","37235","26135","23244","23447","25623","24113","25963","23204","26073","26730","28222","33692","24021","25933","21679","19124","24526","22732","22240","13422","17333","16683"
"Destiny 2","Destiny 2","1085660","ABA28F","https://plotset.com/assets/images/steam-icons/Destiny%202.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","292314","195407","138593","108724","93065","117425","100645","76476","213681","122236","122520","97247","93741","241843","139723","79290","131640","87476","95209","187504","108306","116526","177734","147513","127770","76188","154358","78752","289895","229002","88326","178829","126948","103075","193209","149576","102690","60854","37786","78958","78090"
"CP2077","Cyberpunk 2077","1091500","D2B42C","https://plotset.com/assets/images/steam-icons/Cyberpunk%202077.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","830387","225670","47115","22890","25322","17885","15703","17110","21483","19706","16250","28779","30227","27587","59061","35109","23181","24052","18516","19519","18695","136724","118285","56955","37258","42818","18969"
"Apex","Apex Legends™","1172470","AA2A11","https://plotset.com/assets/images/steam-icons/Apex%20Legends™.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117193","112076","129928","196799","228439","217728","330879","266591","262129","330476","273617","248669","318330","242823","264287","392998","353623","370651","411183","352659","347314","510286","497242","386994","403157","327021","338516","130654"
"NARAKA","NARAKA: BLADEPOINT","1203220","003CC1","https://steamcharts.com/assets/steam-images/1203220.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","128628","160720","141344","154161","186707","138595","148721","165976","146195","129636","109793","106751","165639","149175","162366","166259","135258","124913","16046"
"Halo ∞","Halo Infinite","1240440","74D1EA","https://plotset.com/assets/images/steam-icons/Halo%20Infinite.jpg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","256619","147782","62371","31780","15961","10350","21369","8667","7680","6792","7941","6011","12906","5740","6052","1551"
